,CO2
2015-01-01,14.755495123301968
2016-01-01,14.683349340933027
2017-01-01,14.65258641927823
2018-01-01,14.417827374570264
2019-01-01,14.335127098606145
2020-01-01,14.522816313106192
2021-01-01,14.531275419245064
2022-01-01,14.291327779868986
2023-01-01,14.33473914880682
2024-01-01,14.44854070199043
2025-01-01,14.269423685560183
2026-01-01,14.171319864079923
2027-01-01,14.29697788324533
2028-01-01,14.23786786032898
2029-01-01,14.069266038998496
2030-01-01,14.122454861215012
2031-01-01,14.164170305943223
2032-01-01,14.0118026479694
2033-01-01,13.967072765463099
2034-01-01,14.044229133052713
